AAIT,ATLANTIC ALLIANCE TRANS INC,,,,,
AAIU,ALUMINERIE ALOUETTE INC,,,,,
AAIV,ANDERSON AEROMOTIVE INC,,,,,
AAIY,AAA ANYTIME INC,,,,,
AAJB,A THREE (3) TRUCKING AND DEMOLITION,,,,,
AAJD,A & A STEEL ENTERPRISES LTD,,,,,
AAJF,ALWALY AUTO TRANSPORT,,,,,
AAJH,"AJANA, AMINE",,,,,
AAJJ,"ARMENTA SOTO, JOSE JUAN",,,,,
AAJO,AMERICAN AUTO CARRIERS/AUTOSHIP,,,,,
AAJP,A & A CARGO CORP,,,,,
AAKC,"ARNOLD, A OF KANSAS CITY LLC",,,,,
AAKD,ALL AMERICAN TANK LINE INC,,,,,
AAKG,A AND A TRUCKING,,,,,
AAKH,AA TRUCKING LLC,,,,,
AAKI,AAAC TRUCKING,,,,,
AAKJ,ALSIRA TRUCKING LLC,,,,,
AAKL,ALL AMERICAN TRUCKING LLC,,,,,
AAKO,ACE DORAN BROKERAGE CO,,,,,
AAKR,A & A TRUCKING,,,,,
AAKT,AK TRUCKING INC,,,,,
AAKV,ALL AMERICAN TRUCKING,,,,,
AAKY,AARON MARKETING CO,,,,,
AALA,"ARIAS ALAMILLA, BENJAMIN",,,,,
AALB,AALBERS TOOL & MOLD INC,,,,,
AALD,ALL AROUND COURIERS INC,,,,,
AALG,ALL AMERICAN LOGISTICS LLC,,,,,
AALK,ALL LEATHER IMPORT,,,,,
AALL,AALLCANN WOOD SUPPLIERS INC,,,,,
AALM,A & L INTERMODAL,,,,,
AALN,ANG-A-LEA TRANSPORT,,,,,
AALO,AALA SHIP SERVICE,,,,,
AALP,A & L GLOBAL ENTERPRISES INC,,,,,
AALR,AALBA RESERVE LTD,,,,,
AALU,AUSTRAL ASIA LINE,,,,,
AALV,AUSTRAL ASIA LINES NV,,,,,
AALY,A & A LOGISTICS INC,,,,,
AAMA,AACTION MARINE SERVICES & TRANSPORT,,,,,
AAMD,A & A MARINE & DRY DOCK CO LTD,,,,,
AAME,ALL AMERICAN MOVING SERVICES CS,,,,,
AAMG,ALL AMERICAN MOVING GROUP LLC,,,,,
AAMH,AMF ALL-METAL FABRICATING LIMITED,,,,,
AAMI,ALL AMERICAN XPRESS INC,,,,,
AAMJ,ASIAN AMERICAN MACHINE LLC,,,,,
AAMM,A &A MACHINERY MOVING INC,,,,,
AAMO,ALL ACROSS AMERICA TRANSPORTATION,,,,,
